
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "114", "113"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "115", "114"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "116", "115"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "117", "116"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "118", "117"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "119", "118"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "120", "119"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "121", "120"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "121", "121"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "122", "121"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "122", "122"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "123", "122"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "124", "123"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "125", "124"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "126", "125"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "127", "126"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "128", "127"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "129", "128"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "130", "129"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "130", "130"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "131", "130"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "132", "131"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "133", "132"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "134", "133"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "135", "134"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "136", "135"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "137", "136"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "138", "137"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "139", "138"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "140", "139"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "141", "140"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "141", "141"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "142", "141"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "143", "142"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "144", "143"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "144", "144"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "145", "144"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "146", "145"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "147", "146"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "148", "147"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "149", "148"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "150", "149"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "151", "150"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "152", "151"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "153", "152"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "154", "153"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "155", "154"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "155", "155"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "156", "155"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "157", "156"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "158", "157"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "159", "158"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "160", "159"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "161", "160"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "162", "161"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "163", "162"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "164", "163"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "165", "164"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "166", "165"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "167", "166"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "168", "167"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "169", "168"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "170", "169"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "171", "170"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "172", "171"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "173", "172"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "174", "173"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "175", "174"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "176", "175"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "177", "176"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "178", "177"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "179", "178"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "180", "179"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "181", "180"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "182", "181"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "183", "182"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "184", "183"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "185", "184"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "186", "185"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "187", "186"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "188", "187"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "189", "188"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "190", "189"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "191", "190"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "192", "191"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "193", "192"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "194", "193"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "195", "194"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "196", "195"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "197", "196"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "198", "197"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "199", "198"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "200", "199"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "201", "200"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "202", "201"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "203", "202"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "204", "203"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "205", "204"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "206", "205"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "207", "206"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "208", "207"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "209", "208"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "210", "209"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "211", "210"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "212", "211"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "213", "212"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "214", "213"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "215", "214"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "216", "215"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "217", "216"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "218", "217"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "219", "218"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "220", "219"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "221", "220"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "222", "221"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "223", "222"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "224", "223"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "225", "224"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "226", "225"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "227", "226"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "228", "227"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "228", "228"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "229", "228"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "230", "229"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "230", "230"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "231", "230"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "232", "231"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "233", "232"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "234", "233"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "235", "234"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "236", "235"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "237", "236"
